time,open,high,low,close
2024-05-22T21:20:00Z,69200,69339,69154,69315
2024-05-22T21:30:00Z,69303,69641,69228,69567
2024-05-22T21:40:00Z,69584,69598,69334,69459
2024-05-22T21:50:00Z,69457,69552,69409,69464
2024-05-22T22:00:00Z,69472,69519,69260,69290
2024-05-22T22:10:00Z,69305,69372,69286,69294
2024-05-22T22:20:00Z,69257,69321,69218,69310
2024-05-22T22:30:00Z,69297,69297,69049,69120
2024-05-22T22:40:00Z,69110,69164,69031,69128
2024-05-22T22:50:00Z,69114,69132,69007,69091
2024-05-22T23:00:00Z,69103,69120,68984,69046
2024-05-22T23:10:00Z,69108,69184,68953,68985
2024-05-22T23:20:00Z,68989,69092,68924,69057
2024-05-22T23:30:00Z,69039,69107,68989,69037
2024-05-22T23:40:00Z,69060,69137,69015,69120
2024-05-22T23:50:00Z,69118,69178,69114,69118
2024-05-23T00:00:00Z,69151,69296,69151,69200
2024-05-23T00:10:00Z,69238,69373,69213,69366
2024-05-23T00:20:00Z,69320,69380,69269,69318
2024-05-23T00:30:00Z,69304,69537,69304,69537
2024-05-23T00:40:00Z,69555,69555,69476,69497
2024-05-23T00:50:00Z,69511,69535,69445,69468
2024-05-23T01:00:00Z,69454,69481,69315,69316
2024-05-23T01:10:00Z,69316,69419,69219,69329
2024-05-23T01:20:00Z,69341,69497,69341,69479
2024-05-23T01:30:00Z,69479,69574,69435,69494
2024-05-23T01:40:00Z,69508,69556,69451,69476
2024-05-23T01:50:00Z,69486,69486,69440,69440
2024-05-23T02:00:00Z,69458,69527,69428,69477
2024-05-23T02:10:00Z,69481,69520,69463,69500
2024-05-23T02:20:00Z,69500,69516,69416,69422
2024-05-23T02:30:00Z,69439,69485,69384,69433
2024-05-23T02:40:00Z,69428,69478,69415,69427
2024-05-23T02:50:00Z,69339,69470,69332,69445
2024-05-23T03:00:00Z,69434,69458,69368,69385
2024-05-23T03:10:00Z,69417,69445,69367,69387
2024-05-23T03:20:00Z,69412,69418,69364,69380
2024-05-23T03:30:00Z,69363,69363,69272,69302
2024-05-23T03:40:00Z,69307,69342,69263,69317
2024-05-23T03:50:00Z,69315,69486,69289,69404
2024-05-23T04:00:00Z,69405,69474,69386,69403
2024-05-23T04:10:00Z,69403,69448,69382,69394
2024-05-23T04:20:00Z,69400,69466,69369,69462
2024-05-23T04:30:00Z,69462,69497,69431,69496
2024-05-23T04:40:00Z,69496,69530,69432,69474
2024-05-23T04:50:00Z,69441,69538,69441,69502
2024-05-23T05:00:00Z,69504,69526,69403,69403
2024-05-23T05:10:00Z,69378,69442,69302,69390
2024-05-23T05:20:00Z,69388,69464,69365,69403
2024-05-23T05:30:00Z,69414,69414,69318,69323
2024-05-23T05:40:00Z,69352,69391,69311,69345
2024-05-23T05:50:00Z,69344,69447,69308,69437
2024-05-23T06:00:00Z,69406,69439,69386,69432
2024-05-23T06:10:00Z,69441,69441,69355,69379
2024-05-23T06:20:00Z,69367,69415,69345,69382
2024-05-23T06:30:00Z,69398,69443,69354,69381
2024-05-23T06:40:00Z,69444,69551,69444,69550
2024-05-23T06:50:00Z,69549,69622,69516,69518
2024-05-23T07:00:00Z,69519,69565,69431,69472
2024-05-23T07:10:00Z,69472,69500,69446,69482
2024-05-23T07:20:00Z,69463,69533,69459,69500
2024-05-23T07:30:00Z,69500,69756,69478,69756
2024-05-23T07:40:00Z,69756,69806,69683,69695
2024-05-23T07:50:00Z,69680,69722,69647,69690
2024-05-23T08:00:00Z,69691,69781,69660,69780
2024-05-23T08:10:00Z,69764,69799,69709,69733
2024-05-23T08:20:00Z,69732,69732,69630,69630
2024-05-23T08:30:00Z,69630,69661,69555,69600
2024-05-23T08:40:00Z,69599,69620,69556,69602
2024-05-23T08:50:00Z,69620,69645,69572,69643
2024-05-23T09:00:00Z,69682,69722,69636,69722
2024-05-23T09:10:00Z,69722,69756,69704,69724
2024-05-23T09:20:00Z,69722,69773,69698,69712
2024-05-23T09:30:00Z,69699,69806,69699,69725
2024-05-23T09:40:00Z,69724,69725,69564,69623
2024-05-23T09:50:00Z,69615,69642,69615,69621
2024-05-23T10:00:00Z,69622,69688,69575,69657
2024-05-23T10:10:00Z,69671,69764,69671,69764
2024-05-23T10:20:00Z,69764,69764,69665,69720
2024-05-23T10:30:00Z,69723,69766,69623,69729
2024-05-23T10:40:00Z,69730,69754,69685,69724
2024-05-23T10:50:00Z,69712,69712,69513,69517
2024-05-23T11:00:00Z,69527,69714,69527,69686
2024-05-23T11:10:00Z,69681,69731,69655,69730
2024-05-23T11:20:00Z,69731,69914,69731,69890
2024-05-23T11:30:00Z,69884,69974,69883,69919
2024-05-23T11:40:00Z,69909,69963,69829,69865
2024-05-23T11:50:00Z,69879,70016,69879,69955
2024-05-23T12:00:00Z,69926,70024,69879,69990
2024-05-23T12:10:00Z,69996,70007,69798,69800
2024-05-23T12:20:00Z,69806,70009,69798,69950
2024-05-23T12:30:00Z,69931,69936,69807,69855
2024-05-23T12:40:00Z,69839,69866,69731,69764
2024-05-23T12:50:00Z,69762,69772,69023,69413
2024-05-23T13:00:00Z,69412,69538,69197,69357
2024-05-23T13:10:00Z,69362,69464,69159,69159
2024-05-23T13:20:00Z,69173,69421,69173,69255
2024-05-23T13:30:00Z,69313,69391,68600,68648
2024-05-23T13:40:00Z,68630,68790,68126,68126
2024-05-23T13:50:00Z,68126,68148,67700,68009
2024-05-23T14:00:00Z,67952,68060,67678,67777
2024-05-23T14:10:00Z,67802,68279,67760,68079
2024-05-23T14:20:00Z,68094,68094,67842,67858
2024-05-23T14:30:00Z,67859,68006,67841,67954
2024-05-23T14:40:00Z,67949,67949,67639,67660
2024-05-23T14:50:00Z,67637,67916,67573,67708
2024-05-23T15:00:00Z,67682,68050,67680,68047
2024-05-23T15:10:00Z,68054,68131,67946,68046
2024-05-23T15:20:00Z,68040,68183,68040,68167
2024-05-23T15:30:00Z,68150,68249,68068,68172
2024-05-23T15:40:00Z,68173,68173,67925,67925
2024-05-23T15:50:00Z,67928,68067,67928,68030
2024-05-23T16:00:00Z,68022,68100,67956,68056
2024-05-23T16:10:00Z,68064,68088,67829,67848
2024-05-23T16:20:00Z,67843,68008,67800,67944
2024-05-23T16:30:00Z,67951,68096,67900,68066
2024-05-23T16:40:00Z,68073,68133,67829,67855
2024-05-23T16:50:00Z,67808,67872,67777,67782
2024-05-23T17:00:00Z,67799,67921,67741,67921
2024-05-23T17:10:00Z,67884,67975,67829,67893
2024-05-23T17:20:00Z,67887,68021,67857,68021
