time,open,high,low,close
2023-09-10T13:00:00Z,25797,25819,25766,25808
2023-09-10T14:00:00Z,25809,25813,25754,25768
2023-09-10T15:00:00Z,25770,25787,25717,25768
2023-09-10T16:00:00Z,25764,25785,25657,25782
2023-09-10T17:00:00Z,25782,25782,25674,25693
2023-09-10T18:00:00Z,25688,25744,25688,25722
2023-09-10T19:00:00Z,25726,25840,25588,25793
2023-09-10T20:00:00Z,25790,25900,25769,25810
2023-09-10T21:00:00Z,25813,25890,25808,25889
2023-09-10T22:00:00Z,25890,26018,25844,25846
2023-09-10T23:00:00Z,25846,25860,25815,25836
2023-09-11T00:00:00Z,25839,25870,25670,25721
2023-09-11T01:00:00Z,25721,25744,25667,25690
2023-09-11T02:00:00Z,25678,25735,25661,25731
2023-09-11T03:00:00Z,25727,25772,25727,25731
2023-09-11T04:00:00Z,25729,25774,25716,25770
2023-09-11T05:00:00Z,25775,25875,25765,25875
2023-09-11T06:00:00Z,25876,25881,25816,25829
2023-09-11T07:00:00Z,25829,25836,25792,25807
2023-09-11T08:00:00Z,25806,25819,25752,25797
2023-09-11T09:00:00Z,25795,25802,25662,25730
2023-09-11T10:00:00Z,25731,25734,25594,25700
2023-09-11T11:00:00Z,25705,25714,25591,25595
2023-09-11T12:00:00Z,25595,25705,25587,25705
2023-09-11T13:00:00Z,25706,25738,25595,25609
2023-09-11T14:00:00Z,25604,25622,25002,25122
2023-09-11T15:00:00Z,25141,25192,24957,25106
2023-09-11T16:00:00Z,25100,25229,25094,25175
2023-09-11T17:00:00Z,25178,25210,25053,25210
2023-09-11T18:00:00Z,25204,25213,25146,25156
2023-09-11T19:00:00Z,25153,25160,24990,25005
2023-09-11T20:00:00Z,25010,25114,24920,25088
2023-09-11T21:00:00Z,25089,25206,25070,25137
2023-09-11T22:00:00Z,25140,25186,25115,25138
2023-09-11T23:00:00Z,25138,25169,25081,25155
2023-09-12T00:00:00Z,25157,25224,25136,25199
2023-09-12T01:00:00Z,25200,25209,25129,25146
2023-09-12T02:00:00Z,25140,25214,25135,25206
2023-09-12T03:00:00Z,25206,25924,25206,25788
2023-09-12T04:00:00Z,25794,25952,25744,25747
2023-09-12T05:00:00Z,25744,25765,25616,25765
2023-09-12T06:00:00Z,25768,25842,25714,25758
2023-09-12T07:00:00Z,25769,25866,25726,25820
2023-09-12T08:00:00Z,25818,25861,25723,25763
2023-09-12T09:00:00Z,25763,25867,25738,25854
2023-09-12T10:00:00Z,25867,26298,25832,26155
2023-09-12T11:00:00Z,26167,26169,26027,26086
2023-09-12T12:00:00Z,26096,26199,26091,26120
2023-09-12T13:00:00Z,26115,26316,26037,26288
2023-09-12T14:00:00Z,26283,26373,26058,26129
2023-09-12T15:00:00Z,26122,26231,26111,26208
2023-09-12T16:00:00Z,26212,26529,26080,26105
2023-09-12T17:00:00Z,26101,26164,25909,25909
2023-09-12T18:00:00Z,25907,26015,25893,25983
2023-09-12T19:00:00Z,25993,26240,25993,26071
2023-09-12T20:00:00Z,26071,26117,26062,26073
2023-09-12T21:00:00Z,26069,26150,26063,26105
2023-09-12T22:00:00Z,26093,26093,25935,25972
2023-09-12T23:00:00Z,25967,25973,25822,25844
2023-09-13T00:00:00Z,25842,25980,25762,25917
2023-09-13T01:00:00Z,25916,25962,25904,25949
2023-09-13T02:00:00Z,25942,25966,25901,25904
2023-09-13T03:00:00Z,25912,25918,25840,25874
2023-09-13T04:00:00Z,25877,25942,25862,25926
2023-09-13T05:00:00Z,25917,25927,25852,25895
2023-09-13T06:00:00Z,25894,25973,25864,25955
2023-09-13T07:00:00Z,25958,26093,25856,25871
2023-09-13T08:00:00Z,25867,25960,25867,25949
2023-09-13T09:00:00Z,25948,26183,25928,26151
2023-09-13T10:00:00Z,26151,26206,26094,26145
2023-09-13T11:00:00Z,26150,26232,26107,26186
2023-09-13T12:00:00Z,26192,26246,26040,26211
2023-09-13T13:00:00Z,26214,26218,26088,26129
2023-09-13T14:00:00Z,26137,26330,26074,26220
2023-09-13T15:00:00Z,26216,26380,26191,26252
2023-09-13T16:00:00Z,26244,26395,26210,26287
2023-09-13T17:00:00Z,26284,26360,26088,26099
2023-09-13T18:00:00Z,26113,26166,26090,26116
2023-09-13T19:00:00Z,26110,26203,26059,26146
2023-09-13T20:00:00Z,26150,26256,26146,26224
2023-09-13T21:00:00Z,26224,26275,26210,26239
2023-09-13T22:00:00Z,26238,26308,26233,26251
2023-09-13T23:00:00Z,26250,26270,26206,26226
2023-09-14T00:00:00Z,26229,26522,26190,26522
2023-09-14T01:00:00Z,26500,26535,26143,26181
2023-09-14T02:00:00Z,26180,26298,26179,26283
2023-09-14T03:00:00Z,26275,26301,26256,26270
2023-09-14T04:00:00Z,26271,26285,26200,26218
2023-09-14T05:00:00Z,26209,26247,26168,26194
2023-09-14T06:00:00Z,26192,26292,26192,26292
2023-09-14T07:00:00Z,26303,26373,26266,26343
2023-09-14T08:00:00Z,26338,26356,26284,26312
2023-09-14T09:00:00Z,26307,26309,26269,26286
2023-09-14T10:00:00Z,26289,26332,26281,26332
2023-09-14T11:00:00Z,26332,26473,26325,26450
2023-09-14T12:00:00Z,26472,26583,26354,26464
2023-09-14T13:00:00Z,26466,26762,26462,26598
2023-09-14T14:00:00Z,26595,26757,26529,26736
2023-09-14T15:00:00Z,26755,26797,26597,26697
2023-09-14T16:00:00Z,26705,26741,26559,26625
2023-09-14T17:00:00Z,26626,26678,26574,26654
2023-09-14T18:00:00Z,26660,26849,26591,26591
2023-09-14T19:00:00Z,26591,26699,26571,26689
2023-09-14T20:00:00Z,26693,26726,26568,26579
2023-09-14T21:00:00Z,26576,26623,26500,26543
2023-09-14T22:00:00Z,26549,26637,26521,26617
2023-09-14T23:00:00Z,26615,26637,26510,26529
2023-09-15T00:00:00Z,26529,26560,26484,26492
2023-09-15T01:00:00Z,26491,26519,26461,26510
2023-09-15T02:00:00Z,26512,26611,26506,26611
2023-09-15T03:00:00Z,26611,26621,26580,26621
2023-09-15T04:00:00Z,26623,26656,26606,26644
2023-09-15T05:00:00Z,26639,26647,26586,26591
2023-09-15T06:00:00Z,26583,26611,26566,26583
