time,open,high,low,close
1716617700,3754.12,3758.94,3750.44,3757.01
1716618600,3757,3757.01,3744.4,3750.99
1716619500,3751,3751,3745.6,3748.21
1716620400,3748.2,3754,3747.63,3748.97
1716621300,3748.97,3759.64,3748,3753.94
1716622200,3753.94,3753.94,3745.42,3746.36
1716623100,3746.36,3749.34,3744.6,3746.6
1716624000,3746.6,3749.33,3742.08,3744.21
1716624900,3744.22,3754.39,3743.1,3749.28
1716625800,3749.28,3751.8,3743.12,3745.97
1716626700,3745.97,3746.2,3741,3742.82
1716627600,3742.82,3747.06,3737.02,3739.33
1716628500,3739.34,3752.52,3739.33,3751.4
1716629400,3751.4,3760.93,3748.28,3748.28
1716630300,3748.29,3759.93,3748.27,3759
1716631200,3759.01,3759.01,3753.3,3756.15
1716632100,3756.16,3757.79,3750.9,3751.86
1716633000,3751.87,3757.26,3751.39,3755.73
1716633900,3755.73,3773.42,3755.02,3767.07
1716634800,3767.07,3773,3763.23,3770.59
1716635700,3770.6,3775,3767.6,3770.04
1716636600,3770.04,3770.05,3751.02,3754.62
1716637500,3754.62,3756.22,3736.42,3739.39
1716638400,3739.39,3743.2,3719.8,3733.75
1716639300,3733.75,3742.75,3731.29,3738.81
1716640200,3738.81,3738.81,3729.79,3732.86
1716641100,3732.86,3740.05,3728.03,3737.47
1716642000,3737.47,3747.1,3737.37,3740.79
1716642900,3740.79,3746.49,3736.45,3742.3
1716643800,3742.31,3743.66,3725.4,3733.73
1716644700,3733.74,3736.4,3727.01,3734.17
1716645600,3734.18,3740.91,3730.25,3731.99
1716646500,3732,3740.43,3730.78,3737.81
1716647400,3737.82,3744.22,3736.83,3742.55
1716648300,3742.55,3753.73,3741.29,3747.95
1716649200,3747.95,3758.2,3747.94,3755
1716650100,3755,3756.6,3745,3745.5
1716651000,3745.5,3751.6,3743.54,3751.21
1716651900,3751.21,3751.22,3741.63,3743.79
1716652800,3743.8,3749.38,3742.2,3747.4
1716653700,3747.4,3755.85,3746.2,3752.93
1716654600,3752.94,3754.55,3749.2,3749.59
1716655500,3749.59,3751.87,3746.1,3748.46
1716656400,3748.45,3752,3741.48,3743.65
1716657300,3743.65,3743.65,3737.61,3739.51
1716658200,3739.51,3741.67,3736.68,3739.71
1716659100,3739.72,3743.46,3739.71,3741.06
1716660000,3741.06,3749.64,3740,3746.81
1716660900,3746.8,3755.19,3745.81,3751.1
1716661800,3751.09,3752.6,3747.01,3750.47
1716662700,3750.47,3760,3750.28,3759.62
1716663600,3759.61,3766.02,3758.1,3763.68
1716664500,3763.67,3765.6,3757.38,3759.5
1716665400,3759.5,3760.58,3754.22,3758.65
1716666300,3758.64,3760.29,3756.47,3757.64
1716667200,3757.65,3760.28,3753.02,3754.19
1716668100,3754.2,3754.2,3744.77,3747.13
1716669000,3747.14,3749.49,3743.73,3748.41
1716669900,3748.41,3750.48,3745.35,3745.36
1716670800,3745.35,3747.7,3743.16,3746.61
1716671700,3746.6,3746.61,3743.42,3744.73
1716672600,3744.74,3744.74,3739.55,3744.45
1716673500,3744.46,3746.04,3739.32,3746.03
1716674400,3746.03,3746.15,3738.38,3739.59
1716675300,3739.6,3741.4,3730.12,3736.06
1716676200,3736.05,3740.43,3734.01,3740.43
1716677100,3740.43,3741,3736.69,3737.66
1716678000,3737.66,3747.87,3737.58,3744.61
1716678900,3744.6,3751.93,3744.6,3751.9
1716679800,3751.91,3751.91,3745.21,3745.83
1716680700,3745.82,3751.63,3744.77,3749.26
1716681600,3749.25,3750.4,3746.01,3749.41
1716682500,3749.4,3749.41,3741.73,3746.98
1716683400,3746.97,3749,3745.2,3745.2
1716684300,3745.21,3750,3745.2,3745.21
1716685200,3745.2,3754.18,3745.2,3753.61
1716686100,3753.6,3759.5,3751.46,3758.6
1716687000,3758.6,3760.49,3753.78,3754.96
1716687900,3754.96,3760,3752.28,3757.99
1716688800,3757.99,3760.2,3753.37,3753.38
1716689700,3753.38,3756.16,3736,3744.22
1716690600,3744.22,3745.84,3735,3735.01
1716691500,3735.01,3741.31,3731.17,3737.6
1716692400,3737.6,3741.49,3734.44,3737.21
1716693300,3737.21,3741.76,3737.21,3741.76
1716694200,3741.76,3755.1,3740.27,3752.79
1716695100,3752.78,3772.93,3750,3771.59
1716696000,3771.59,3771.6,3757.47,3757.48
1716696900,3757.47,3764.76,3757.33,3758.28
1716697800,3758.29,3759.51,3747,3753.67
1716698700,3753.68,3753.68,3745,3748.34
1716699600,3748.34,3750,3741.87,3741.88
1716700500,3741.88,3747.5,3741.16,3746.6
1716701400,3746.61,3755,3746.03,3754.46
1716702300,3754.46,3762.39,3752.02,3760.53
1716703200,3760.54,3762.58,3758.45,3761.4
1716704100,3761.41,3761.57,3755.97,3757.38
1716705000,3757.37,3759.43,3752.55,3756.54
1716705900,3756.53,3759.96,3755.07,3759.95
1716706800,3759.96,3771.01,3759,3765.75
1716707700,3765.74,3775,3765,3774.8
1716708600,3774.81,3795.06,3774.8,3790.81
1716709500,3790.8,3793.89,3784.17,3786.02
1716710400,3786.01,3805.99,3777.22,3804.98
1716711300,3804.99,3816.57,3795.29,3801.19
1716712200,3801.19,3807.99,3787.41,3788.79
1716713100,3788.79,3794.49,3781.55,3794.46
1716714000,3794.45,3815.4,3794.45,3815.37
1716714900,3815.38,3816.79,3801.04,3805.01
1716715800,3805,3805.01,3792.52,3797.17
1716716700,3797.17,3800,3788.85,3800
1716717600,3800,3810.54,3799.09,3807.6
1716718500,3807.6,3809.01,3792.89,3796.99
1716719400,3796.99,3803.91,3790.52,3801.99
1716720300,3802,3811,3800.45,3804.61
1716721200,3804.61,3820,3803.28,3818.69
1716722100,3818.69,3822.4,3808.02,3808.69
1716723000,3808.69,3813.96,3804.05,3812.02
1716723900,3812.03,3815.49,3805,3813.79
1716724800,3813.79,3813.8,3802.64,3805.69
1716725700,3805.68,3808,3800,3807.8
1716726600,3807.81,3812.49,3803.61,3808.79
1716727500,3808.8,3810.38,3803,3803.31
1716728400,3803.31,3810.85,3803.02,3803.03
1716729300,3803.02,3811.45,3802.38,3805.48
1716730200,3805.49,3806.78,3792.14,3794.64
1716731100,3794.64,3809.9,3792.28,3808.9
1716732000,3808.89,3814.65,3803.3,3809.84
1716732900,3809.84,3812.16,3804.85,3810.55
1716733800,3810.55,3820,3808,3819.76
1716734700,3819.76,3865.59,3819.04,3862.4
1716735600,3862.4,3875.42,3845.54,3855
1716736500,3854.99,3873,3847.18,3871.99
1716737400,3872,3875.8,3854.99,3855
1716738300,3854.99,3856.6,3825.6,3833.05
1716739200,3833.06,3849,3831.81,3847.01
1716740100,3847.02,3847.84,3831.26,3841.19
1716741000,3841.18,3873.01,3839.87,3870.29
1716741900,3870.29,3884.2,3858.45,3863.87
1716742800,3863.87,3865.4,3852.21,3852.78
1716743700,3852.78,3860.6,3846.92,3847
1716744600,3846.99,3857.76,3845.91,3857.49
1716745500,3857.49,3857.49,3841.83,3844.57
1716746400,3844.58,3847.55,3833.34,3834.14
1716747300,3834.15,3840.75,3832.2,3835.97
1716748200,3835.98,3841.64,3833.38,3836.2
1716749100,3836.2,3850.9,3836.19,3847.7
1716750000,3847.7,3871.82,3847.69,3858.85
1716750900,3858.86,3864.91,3854.25,3855.12
1716751800,3855.12,3868.89,3853.4,3868.89
1716752700,3868.88,3878.87,3864.01,3878.86
1716753600,3878.86,3879.63,3866.76,3871.86
1716754500,3871.86,3872.76,3861.74,3863.69
1716755400,3863.68,3866.84,3857.91,3859.68
1716756300,3859.69,3864.71,3859.68,3860.74
1716757200,3860.74,3860.75,3850.01,3850.72
1716758100,3850.73,3856.83,3844.35,3844.79
1716759000,3844.8,3844.8,3823.11,3837.15
1716759900,3837.15,3855.23,3833,3852.54
1716760800,3852.55,3854.78,3846.87,3847.42
1716761700,3847.41,3851,3842.94,3846.8
1716762600,3846.8,3848.68,3841.37,3841.6
1716763500,3841.59,3844.38,3835.67,3838.06
1716764400,3838.07,3840.94,3834.04,3834.2
1716765300,3834.2,3837.12,3820.79,3829.38
1716766200,3829.37,3829.38,3817.39,3821.23
1716767100,3821.24,3829.85,3819.34,3826.47
1716768000,3826.47,3836.89,3823.37,3835.04
1716768900,3835.04,3846.83,3835.04,3841.29
1716769800,3841.3,3857.5,3840.71,3846.32
1716770700,3846.32,3851.98,3840.26,3843
1716771600,3843,3843.03,3837.26,3837.61
1716772500,3837.62,3851.58,3837.24,3847.73
1716773400,3847.72,3880,3846.96,3869.58
1716774300,3869.58,3889,3869,3883.73
1716775200,3883.72,3899.87,3878.62,3897.14
1716776100,3897.15,3923.77,3896.01,3922.9
1716777000,3922.9,3939.59,3917.75,3926.68
1716777900,3926.68,3934.27,3910.57,3914.49
1716778800,3914.49,3930.53,3905.75,3921.63
1716779700,3921.63,3937.62,3914.66,3934.39
1716780600,3934.39,3937.56,3924.05,3931.98
1716781500,3931.98,3938.05,3915.33,3919.58
1716782400,3919.59,3920.76,3908,3916.04
1716783300,3916.04,3934,3915,3931.2
1716784200,3931.2,3935,3920.89,3920.89
1716785100,3920.89,3924.27,3914.86,3919.43
1716786000,3919.43,3923.39,3909.01,3910.59
1716786900,3910.58,3916.83,3888.71,3889.4
1716787800,3889.41,3908.17,3889.17,3906.79
1716788700,3906.8,3914.5,3904.62,3904.68
