time,open,high,low,close
1703718000,2364.73,2392.44,2364.72,2378.35
1703721600,2378.35,2441,2376.14,2432.34
1703725200,2432.33,2445.8,2411.02,2414.7
1703728800,2414.73,2418.45,2403.26,2410.93
1703732400,2410.92,2420,2408.29,2413.65
1703736000,2413.65,2425.58,2401,2403.61
1703739600,2403.62,2406.6,2379.07,2390.65
1703743200,2390.66,2392.6,2369.4,2374.19
1703746800,2374.19,2381.6,2364.77,2380
1703750400,2379.99,2389.54,2372.17,2379.2
1703754000,2379.2,2395.87,2378.3,2386.82
1703757600,2386.81,2410.56,2384.01,2398.7
1703761200,2398.69,2405.81,2389.05,2401.46
1703764800,2401.46,2404.43,2371.47,2374
1703768400,2374,2413,2360.3,2394.69
1703772000,2394.68,2398.6,2345,2370.58
1703775600,2370.58,2379.14,2352.23,2358.85
1703779200,2358.85,2382.45,2353.69,2367.66
1703782800,2367.66,2378.76,2353,2356.68
1703786400,2356.69,2366.09,2348.1,2360.32
1703790000,2360.32,2372.36,2359.16,2362.27
1703793600,2362.27,2363.56,2340.54,2352.86
1703797200,2352.87,2361.74,2336.5,2345.14
1703800800,2345.15,2357.2,2335,2357.2
1703804400,2357.19,2357.75,2341.13,2344.15
1703808000,2344.15,2363.77,2340.57,2343.31
1703811600,2343.32,2349.2,2311.16,2333.49
1703815200,2333.49,2343.38,2324.09,2342.33
1703818800,2342.34,2357.72,2339.8,2351.9
1703822400,2351.89,2355.24,2343.8,2351.9
1703826000,2351.9,2358.91,2342.33,2358.01
1703829600,2358.01,2359.91,2350.65,2350.66
1703833200,2350.65,2360,2331,2332.69
1703836800,2332.68,2350.23,2331.64,2345.61
1703840400,2345.62,2372.22,2338.99,2367.61
1703844000,2367.61,2369.76,2360.66,2365.53
1703847600,2365.54,2378.2,2364.03,2372.1
1703851200,2372.11,2375,2357.8,2364.21
1703854800,2364.21,2370.09,2350.8,2363.48
1703858400,2363.48,2385.41,2359.15,2382
1703862000,2382.01,2382.58,2317.12,2327.18
1703865600,2327.19,2332.94,2291,2298.53
1703869200,2298.54,2309.53,2283,2298.66
1703872800,2298.66,2316.68,2296.89,2315.54
1703876400,2315.54,2319.29,2307.36,2316.88
1703880000,2316.87,2317.48,2299.39,2305.5
1703883600,2305.5,2310.6,2276.11,2285.83
1703887200,2285.82,2286.74,2255.34,2281.62
1703890800,2281.61,2300,2281.24,2299.2
1703894400,2299.2,2304.9,2294.96,2302.07
1703898000,2302.07,2309.79,2300.55,2307.06
1703901600,2307.05,2307.84,2289.38,2293.79
1703905200,2293.79,2300.04,2287.24,2298.06
1703908800,2298.07,2307.31,2297.08,2301.66
1703912400,2301.65,2308,2300.31,2307.93
1703916000,2307.93,2308.62,2300.78,2303.16
1703919600,2303.15,2306.35,2293.14,2295.68
1703923200,2295.69,2296.58,2270,2272.97
1703926800,2272.97,2281.78,2268,2277.61
1703930400,2277.6,2289.32,2277.16,2286.14
