time,open,high,low,close
1717351200,162.24,162.74,161.32,162.48
1717352100,162.46,163,162.31,162.6
1717353000,162.6,163.37,162.44,163.37
1717353900,163.36,163.36,162.89,163.07
1717354800,163.07,163.26,162.54,162.75
1717355700,162.76,162.87,162.18,162.69
1717356600,162.69,162.96,162.54,162.96
1717357500,162.96,163.32,162.84,163.12
1717358400,163.11,163.25,162.12,162.26
1717359300,162.26,162.3,161.73,162.25
1717360200,162.25,162.68,162.19,162.67
1717361100,162.67,163.17,162.59,163.17
1717362000,163.17,163.38,163.01,163.22
1717362900,163.22,163.25,162.93,163.04
1717363800,163.04,163.08,162.81,162.96
1717364700,162.96,163.1,162.58,162.63
1717365600,162.62,162.94,162.58,162.69
1717366500,162.7,163.35,162.69,163.1
1717367400,163.11,163.58,163,163.21
1717368300,163.2,163.3,162.87,163.29
1717369200,163.29,163.55,163.21,163.5
1717370100,163.49,163.63,163.28,163.57
1717371000,163.57,163.74,163.37,163.5
1717371900,163.5,163.51,163.11,163.15
1717372800,163.14,163.44,162.91,163.36
1717373700,163.35,163.47,162.43,162.57
1717374600,162.58,162.72,161.79,161.99
1717375500,161.99,162.6,161.8,162.55
1717376400,162.56,164.13,162.39,163.64
1717377300,163.65,164.69,163.6,164.26
1717378200,164.25,164.8,163.4,163.45
1717379100,163.45,164.99,163.39,164.57
1717380000,164.57,165,164.54,164.74
1717380900,164.75,165.23,164.48,164.53
1717381800,164.54,164.75,163.9,164.3
1717382700,164.3,164.4,164.06,164.12
1717383600,164.13,164.22,162.98,163.44
1717384500,163.44,163.69,163.08,163.33
1717385400,163.33,163.57,163.26,163.53
1717386300,163.54,163.97,163.38,163.59
1717387200,163.59,163.72,163.12,163.24
1717388100,163.25,163.41,162.64,162.76
1717389000,162.76,163.5,162.76,163.11
1717389900,163.1,164.17,162.88,163.75
1717390800,163.74,164.62,163.74,164.61
1717391700,164.61,165.11,164.43,164.74
1717392600,164.75,165,164.58,164.92
1717393500,164.92,165.06,164.46,164.65
1717394400,164.64,164.99,164.38,164.86
1717395300,164.86,165.5,164.61,165.5
1717396200,165.49,165.79,165,165.54
1717397100,165.54,165.66,165.26,165.52
1717398000,165.52,165.74,165.14,165.3
1717398900,165.3,165.41,164.68,164.82
1717399800,164.82,165.19,164.62,165.14
1717400700,165.14,165.36,164.92,165.35
1717401600,165.35,165.64,165.18,165.6
1717402500,165.6,166.43,165.59,166.43
1717403400,166.42,166.85,166.14,166.3
1717404300,166.29,166.48,165.73,165.73
1717405200,165.73,165.85,165.18,165.5
1717406100,165.5,165.6,164.75,165.22
1717407000,165.22,165.6,165.18,165.26
1717407900,165.24,165.55,165.15,165.16
1717408800,165.16,165.66,165.16,165.53
1717409700,165.53,165.82,165.52,165.59
1717410600,165.59,165.6,165.4,165.48
1717411500,165.47,165.51,164.71,164.79
1717412400,164.78,165.19,164.51,165.09
1717413300,165.08,165.3,164.76,165.12
1717414200,165.11,165.37,164.56,164.84
1717415100,164.83,164.99,164.55,164.83
1717416000,164.82,165.34,164.82,165.31
1717416900,165.32,165.71,165.07,165.57
1717417800,165.56,166.37,165.23,165.93
1717418700,165.94,166.74,165.56,166.63
1717419600,166.63,166.69,166.2,166.47
1717420500,166.47,166.52,166.09,166.45
1717421400,166.44,166.96,166.44,166.86
1717422300,166.86,167.21,166.16,166.16
1717423200,166.17,166.64,165.5,166.05
1717424100,166.05,166.08,164.91,164.97
1717425000,164.98,165.02,163.5,163.89
