time,open,high,low,close
1716588900,0.5341,0.5349,0.5338,0.5344
1716589800,0.5344,0.5356,0.5344,0.5355
1716590700,0.5354,0.5359,0.5345,0.5355
1716591600,0.5355,0.5364,0.5348,0.5354
1716592500,0.5353,0.5357,0.5349,0.5352
1716593400,0.5351,0.5352,0.5345,0.5349
1716594300,0.5349,0.5361,0.5348,0.536
1716595200,0.5359,0.536,0.5345,0.5348
1716596100,0.5348,0.535,0.5342,0.5344
1716597000,0.5344,0.5355,0.5342,0.5346
1716597900,0.5346,0.5353,0.5341,0.5346
1716598800,0.5346,0.5356,0.5346,0.5355
1716599700,0.5355,0.536,0.5354,0.5356
1716600600,0.5356,0.5359,0.5351,0.5353
1716601500,0.5354,0.5359,0.5351,0.5354
1716602400,0.5353,0.5354,0.5346,0.5353
1716603300,0.5352,0.5355,0.5346,0.5347
1716604200,0.5346,0.5348,0.534,0.5345
1716605100,0.5344,0.5349,0.5342,0.5343
1716606000,0.5343,0.5347,0.5333,0.5337
1716606900,0.5336,0.5344,0.5334,0.5343
1716607800,0.5343,0.5348,0.5339,0.5347
1716608700,0.5348,0.5349,0.5344,0.5346
1716609600,0.5347,0.5365,0.5346,0.5365
1716610500,0.5365,0.5377,0.5357,0.5358
1716611400,0.5358,0.537,0.5357,0.5368
1716612300,0.5368,0.5374,0.5368,0.5371
1716613200,0.5372,0.5373,0.5364,0.5371
1716614100,0.5371,0.5374,0.536,0.5362
1716615000,0.5363,0.5366,0.5354,0.5355
1716615900,0.5355,0.5361,0.5354,0.536
1716616800,0.5361,0.5366,0.5359,0.5366
1716617700,0.5366,0.5366,0.536,0.5363
1716618600,0.5364,0.5364,0.5347,0.5347
1716619500,0.5347,0.5348,0.5342,0.5344
1716620400,0.5344,0.5351,0.5341,0.5351
1716621300,0.535,0.536,0.535,0.5358
1716622200,0.5358,0.5362,0.535,0.5353
1716623100,0.5353,0.5354,0.5348,0.5349
1716624000,0.5349,0.5352,0.5341,0.5347
1716624900,0.5346,0.535,0.5343,0.5344
1716625800,0.5343,0.5349,0.5343,0.5349
